,population,city,country,latitude,longitude
3621,111897,Lomas de Zamora,Argentina,-34.761182,-58.430248
3622,111804,Duitama,Colombia,5.80883,-73.06464
3623,111787,Bousaada,Algeria,35.195404,4.173155
3624,111763,Akishima,Japan,35.713543,139.360908
3625,111753,Yumbo,Colombia,3.47859,-76.5018
3626,111707,Arvada,USA,39.8097,-105.1066
3627,111660,Temperley,Argentina,-34.767834,-58.379253
3628,111652,Três Lagoas,Brazil,-20.796421,-51.697342
3629,111633,São Félix do Xingu,Brazil,-6.645156,-51.99661
3630,111628,Siverek,Turkey,37.75201,39.332069
3631,111620,Itatiba,Brazil,-23.007423,-46.8303
3632,111586,Almirante Tamandaré,Brazil,-25.379358,-49.308417
3633,111542,Inglewood,USA,33.9561,-118.3443
3634,111524,Caraguatatuba,Brazil,-23.617005,-45.416079
3635,111447,Tovar,Venezuela,8.327933,-71.759282
3636,111378,Miami Gardens,USA,25.9489,-80.2436
3637,111357,Reutlingen,Germany,48.4919508,9.2114144
3638,111231,Daugavpils,Latvia,55.874736,26.536179
3639,111149,Deesa,India,24.258503,72.190672
3640,111109,Oktyabrsky,Russia,54.466667,53.466667
3641,111071,Myitkyina,Myanmar,"25,38","97,38"
3642,111067,Nandurbar,India,21.375551,74.242764
3643,111037,Montego Bay,Jamaica,18.466667,-77.916667
3644,111034,Jiroft,Iran,28.675112,57.737157
3645,111013,Pavlograd,Ukraine,48.516667,35.866667
3646,110993,Ciudad de Mendoza,Argentina,-32.890183,-68.84405
3647,110980,Azamgarh,India,26.073704,83.185946
3648,110972,Carlsbad,USA,33.1239,-117.2828
3649,110945,Westminster,USA,39.8822,-105.0644
3650,110945,Hikone,Japan,35.272206,136.263356
3651,110933,Rouen,France,49.443232,1.099971
3652,110932,Mozir,Belarus,52.032208,29.222313
3653,110917,Igarassu,Brazil,-7.830483,-34.915467
3654,110901,Râmnicu Vâlcea,Romania,45.104722,24.375556
3655,110878,Alchevsk,Ukraine,48.477778,38.797778
3656,110877,Västerås,Sweden,59.6099,16.544809
3657,110855,Toowoomba,Australia,-27.56433,151.953987
3658,110813,Chikusei,Japan,36.307154,139.983044
3659,110742,Rochester,USA,44.0154,-92.4772
3660,110720,Odessa,USA,31.8804,-102.3434
3661,110660,Zwolle,Netherlands,52.516775,6.083022
3662,110643,Koblenz,Germany,50.34624975,7.5840098425
3663,110565,Santana,Brazil,-0.042392,-51.176117
3664,110563,Hakusan,Japan,36.154167,136.77
3665,110550,Marugame,Japan,34.289498,133.797684
3666,110496,Ramgarh,India,23.628333,85.521111
3667,110491,Masaya,Nicaragua,11.966667,-86.1
3668,110464,Marivan,Iran,35.526944,46.176389
3669,110411,Parintins,Brazil,-2.624235,-56.734617
3670,110398,Trat,Thailand,12.242756,102.517473
3671,110388,Formosa,Brazil,-15.551671,-47.330526
3672,110378,Manchester,USA,42.9847,-71.4439
3673,110340,Limbé,Cameroon,4.02,9.2
3674,110304,Chauk,Myanmar,"20,90","94,82"
3675,110280,Kairouan,Tunisia,35.675914,10.091924
3676,110243,Novoshakhtinsk,Russia,47.75,39.933333
3677,110241,Monte Grande,Argentina,-34.827179,-58.462012
3678,110230,Quíbor,Venezuela,9.931111,-69.624722
3679,110145,Elgin,USA,42.0396,-88.3217
3680,110119,Tuyên Quang,Vietnam,22.172671,105.313118
3681,110116,Nazilli,Turkey,37.910419,28.320259
3682,110091,Firozpur,India,30.9166,74.6
3683,110077,West Jordan,USA,40.6023,-112.001
3684,110058,Baripada,India,21.94,86.72
3685,109953,Toride,Japan,35.893083,140.062818
3686,109943,Kamal Shahr,Iran,35.862222,50.871667
3687,109919,Siwan,India,26.219621,84.356659
3688,109914,Bernal,Argentina,-34.710869,-58.280083
3689,109839,Iringa,Tanzania,-7.77,35.68
3690,109821,Round Rock,USA,30.5237,-97.6674
3691,109787,Desouk,Egypt,31.128546,30.646246
