Variables,,Total land area (km2),Metropolitan land share of national value (%),Green area per million people (square meters per million person),Urban form,,Territorial organisation,,,
,,,,,Polycentricity,Concentration of population in the core (%),Local governments (count),Local governments in the core (count),Territorial fragmentation,Average population size of local government
Unit,,Square kilometres,Percentage,Ratio,Number,Percentage,Number,Number,Per 100 000 inhabitants,Ratio
Metropolitan areas,,,,,,,,,,
  US012: Portland,,17657.21,0.19,408.76,1,76.21,58,25,2.46,40671.17
  US122: Baltimore,,3730.13,0.04,971.67,1,87.17,6,3,0.3,332700
  US124: Cincinnati,,10779.42,0.12,2905.16,1,92.51,216,63,9.97,10026.29
  US125: Washington,,16605.51,0.18,973.99,1,86,91,60,1.51,66180.12
  US128: Kansas City,,19095.39,0.21,4132.96,1,90.19,217,29,10.34,9669.85
  US134: Saint Louis (US),,13001.75,0.14,1825.18,1,65.03,250,108,9.58,10440.89
  US135: Sacramento/Roseville,,13749.86,0.15,54.6,1,90.68,16,10,0.69,144482.56
  US014: Minneapolis,,21030.86,0.23,2812.62,1,91.13,329,59,9.41,10626.33
  US146: San Francisco,,17089.9,0.19,23.22,2,69.76,93,62,1.33,75155.04
  US190: Los Angeles,,83682.18,0.91,5.09,1,100,169,169,0.95,104845.31
  US196: Atlanta,,9796.08,0.11,98.04,1,35.04,67,18,1.41,71077
  US202: Phoenix,,23889.14,0.26,9.23,1,100,24,24,0.58,173476.88
  US209: Dallas,,12067.76,0.13,196.9,1,91.48,117,82,2.57,38865.11
  US210: San Diego,,11028.58,0.12,10.35,1,100,18,18,0.56,178646.5
  US242: Houston,,22488.43,0.25,591.59,1,89.26,109,44,1.67,59810.62
  US245: San Antonio,,19126.6,0.21,125.64,1,91.27,43,22,1.83,54551.86
  US250: Orlando,,10390.36,0.11,416.9,1,72.13,22,13,0.93,107917.45
  US259: Miami,,14179.44,0.15,140.9,1,100,97,97,1.67,59854.46
  US003: Seattle,,11172.99,0.12,99.13,1,100,57,57,2.05,48703.84
  US033: Milwaukee,,3865.74,0.04,1567.82,1,60.21,90,19,5.7,17546.44
  US045: Detroit,,5244.45,0.06,551.67,1,100,131,131,3.45,29016.5
